epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4602.81,0.93401,0.77751,1.47991,0.84452,0.78255,0.83218,0.58359,1.2644,0.69464,2.27879,0.000741194,0.000741194,0.000741194
43,4712.93,0.93397,0.80752,1.47606,0.82288,0.83677,0.85135,0.6001,1.23755,0.58378,2.2101,0.000729725,0.000729725,0.000729725
44,4823.14,0.93335,0.76706,1.47229,0.85443,0.82191,0.87393,0.57889,1.32576,0.67741,2.3902,0.000718103,0.000718103,0.000718103
45,4933.03,0.93821,0.77517,1.48513,0.87503,0.79076,0.85028,0.58226,1.26348,0.66011,2.23543,0.000706335,0.000706335,0.000706335
46,5042.72,0.92875,0.75676,1.47367,0.87433,0.79574,0.85782,0.61815,1.17486,0.6627,2.13534,0.000694428,0.000694428,0.000694428
47,5152.51,0.92282,0.77592,1.46777,0.83775,0.81449,0.86347,0.61078,1.18714,0.67913,2.15861,0.000682392,0.000682392,0.000682392
48,5262.69,0.91723,0.7541,1.46368,0.83398,0.78517,0.81739,0.58414,1.21661,0.70973,2.20568,0.000670234,0.000670234,0.000670234
49,5372.8,0.91892,0.74584,1.47003,0.81915,0.83002,0.83906,0.59023,1.23503,0.65742,2.22207,0.000657963,0.000657963,0.000657963
50,5482.91,0.91699,0.74061,1.47121,0.83049,0.81655,0.87129,0.61052,1.1865,0.61164,2.14117,0.000645588,0.000645588,0.000645588
51,5592.82,0.91249,0.75322,1.46433,0.86165,0.8085,0.86952,0.61472,1.20624,0.62562,2.16384,0.000633115,0.000633115,0.000633115
52,5700.2,0.90823,0.73638,1.46294,0.81845,0.83234,0.8538,0.59641,1.21451,0.64355,2.1973,0.000620555,0.000620555,0.000620555
53,5806.01,0.91664,0.72601,1.46312,0.86738,0.8119,0.85334,0.58451,1.284,0.7161,2.31772,0.000607916,0.000607916,0.000607916
54,5913.75,0.89387,0.72716,1.44515,0.86278,0.80771,0.85946,0.60029,1.25738,0.60296,2.23992,0.000595207,0.000595207,0.000595207
55,6024,0.90731,0.73825,1.45513,0.82553,0.8528,0.862,0.60064,1.24124,0.61272,2.2128,0.000582435,0.000582435,0.000582435
56,6133.95,0.91329,0.71222,1.4558,0.84569,0.82601,0.8616,0.60109,1.24835,0.62171,2.23962,0.00056961,0.00056961,0.00056961
57,6243.85,0.90088,0.72369,1.44467,0.81818,0.81095,0.83807,0.56343,1.37745,0.68089,2.47173,0.000556742,0.000556742,0.000556742
58,6353.57,0.89177,0.71219,1.44126,0.82663,0.82156,0.85477,0.58458,1.29198,0.66922,2.36532,0.000543837,0.000543837,0.000543837
59,6463.7,0.89233,0.71653,1.44408,0.83883,0.82712,0.8423,0.59053,1.24448,0.61178,2.2462,0.000530906,0.000530906,0.000530906
60,6573.49,0.90214,0.7162,1.45133,0.84367,0.84384,0.86887,0.58441,1.30044,0.60798,2.34771,0.000517958,0.000517958,0.000517958
61,6683.37,0.91236,0.70888,1.46285,0.84439,0.83033,0.83865,0.59007,1.2211,0.66143,2.20429,0.000505,0.000505,0.000505
62,6793.43,0.89177,0.70525,1.44745,0.83446,0.8399,0.84636,0.58868,1.23799,0.63993,2.24599,0.000492042,0.000492042,0.000492042
63,6903.47,0.90165,0.69582,1.45003,0.82129,0.84067,0.85459,0.58062,1.25656,0.69537,2.261,0.000479094,0.000479094,0.000479094
64,7013.67,0.8964,0.68693,1.43346,0.84856,0.8256,0.85739,0.60314,1.24651,0.6135,2.22848,0.000466163,0.000466163,0.000466163
